window,year,field,label,n,valid_n,missing_n,included_n,share,sentinel_present_n,known_n,known_positive_n,known_share
jan_aug,2024,target_system,agent_or_tool_system,152,1683,0,1683,0.0903149138443256,0,1683,152,0.0903149138443256
jan_aug,2024,target_system,answering_model,1561,1683,0,1683,0.9275103980986333,0,1683,1561,0.9275103980986333
jan_aug,2024,target_system,embodied_system,19,1683,0,1683,0.0112893642305407,0,1683,19,0.0112893642305407
jan_aug,2025,target_system,agent_or_tool_system,428,3284,0,3284,0.13032886723507917,0,3284,428,0.13032886723507917
jan_aug,2025,target_system,answering_model,2928,3284,0,3284,0.8915956151035322,0,3284,2928,0.8915956151035322
jan_aug,2025,target_system,embodied_system,59,3284,0,3284,0.017965895249695493,0,3284,59,0.017965895249695493
jan_aug,2026,target_system,agent_or_tool_system,1624,5734,0,5734,0.2832228810603418,0,5734,1624,0.2832228810603418
jan_aug,2026,target_system,answering_model,4348,5734,0,5734,0.7582839204743634,0,5734,4348,0.7582839204743634
jan_aug,2026,target_system,embodied_system,133,5734,0,5734,0.02319497732821765,0,5734,133,0.02319497732821765
jan_aug,2024,evaluation_domain,cybersecurity,51,1683,0,1683,0.030303030303030304,0,1683,51,0.030303030303030304
jan_aug,2024,evaluation_domain,education,35,1683,0,1683,0.020796197266785502,0,1683,35,0.020796197266785502
jan_aug,2024,evaluation_domain,engineering,61,1683,0,1683,0.036244800950683304,0,1683,61,0.036244800950683304
jan_aug,2024,evaluation_domain,finance_and_business,102,1683,0,1683,0.06060606060606061,0,1683,102,0.06060606060606061
jan_aug,2024,evaluation_domain,general_or_cross_domain,792,1683,0,1683,0.47058823529411764,0,1683,792,0.47058823529411764
jan_aug,2024,evaluation_domain,healthcare_biomedicine,174,1683,0,1683,0.10338680926916222,0,1683,174,0.10338680926916222
jan_aug,2024,evaluation_domain,language_and_communication,334,1683,0,1683,0.1984551396316102,0,1683,334,0.1984551396316102
jan_aug,2024,evaluation_domain,law_and_public_policy,46,1683,0,1683,0.027332144979203804,0,1683,46,0.027332144979203804
jan_aug,2024,evaluation_domain,mathematics_and_formal_reasoning,210,1683,0,1683,0.12477718360071301,0,1683,210,0.12477718360071301
jan_aug,2024,evaluation_domain,natural_sciences,121,1683,0,1683,0.0718954248366013,0,1683,121,0.0718954248366013
jan_aug,2024,evaluation_domain,other,41,1683,0,1683,0.0243612596553773,0,1683,41,0.0243612596553773
jan_aug,2024,evaluation_domain,social_sciences_and_humanities,191,1683,0,1683,0.11348781937017231,0,1683,191,0.11348781937017231
jan_aug,2024,evaluation_domain,software_and_coding,270,1683,0,1683,0.16042780748663102,0,1683,270,0.16042780748663102
jan_aug,2025,evaluation_domain,cybersecurity,130,3284,0,3284,0.03958587088915956,0,3284,130,0.03958587088915956
jan_aug,2025,evaluation_domain,education,71,3284,0,3284,0.021619975639464068,0,3284,71,0.021619975639464068
jan_aug,2025,evaluation_domain,engineering,210,3284,0,3284,0.06394640682095006,0,3284,210,0.06394640682095006
