panel,year,metric,n,valid_n,share
A,2024,neither_n,700,1681,0.4164187983343248
A,2025,neither_n,1139,3282,0.34704448507007923
A,2026,neither_n,1933,5734,0.33711196372514823
A,2024,exposure_only_n,548,1681,0.32599643069601425
A,2025,exposure_only_n,977,3282,0.29768433881779405
A,2026,exposure_only_n,1492,5734,0.26020230205790024
A,2024,outcome_only_n,150,1681,0.08923259964306961
A,2025,outcome_only_n,402,3282,0.12248628884826325
A,2026,outcome_only_n,859,5734,0.14980816184164633
A,2024,both_n,283,1681,0.1683521713265913
A,2025,both_n,764,3282,0.2327848872638635
A,2026,both_n,1450,5734,0.25287757237530517
B,2022-01_to_2026-08,human_material_n,2530,3272,0.7732273838630807
B,2022-01_to_2026-08,any_additional_scoring_n,2020,3272,0.617359413202934
