cohort,outcome,strata,start,end,valid_n,rates,delta,composition,within,composition_fraction_of_delta,available
primary,llm,"[""agent""]",2024,2026,"[1681, 5734]","[0.2575847709696609, 0.40268573421695153]",0.1451009632472906,0.005562725646636825,0.13953823760065384,0.038336931210831884,True
primary,llm,"[""agent"", ""software""]",2024,2026,"[1681, 5734]","[0.2575847709696609, 0.40268573421695153]",0.1451009632472906,0.004884248026135135,0.1402167152211555,0.033661031028519625,True
primary,llm,"[""agent"", ""software"", ""interactive""]",2024,2026,"[1681, 5733]","[0.2575847709696609, 0.4025815454386883]",0.14499677446902737,0.008688045952683958,0.1363087285163434,0.0599188911925748,True
primary,en_only,"[""agent""]",2024,2026,"[1677, 5728]","[0.7942754919499105, 0.8245460893854749]",0.030270597435564373,0.020961291551890193,0.00930930588367407,0.6924637545231649,True
primary,en_only,"[""agent"", ""software""]",2024,2026,"[1677, 5728]","[0.7942754919499105, 0.8245460893854749]",0.030270597435564373,0.021733434786791295,0.008537162648772939,0.7179717821246924,True
primary,en_only,"[""agent"", ""software"", ""interactive""]",2024,2026,"[1677, 5727]","[0.7942754919499105, 0.8245154531168151]",0.030239961166904528,0.02605726717465727,0.004182693992247236,0.8616832221059557,True
primary,en_only_named,"[""agent""]",2024,2026,"[1658, 5610]","[0.8033775633293124, 0.8418894830659537]",0.038511919736641254,0.021734145817664113,0.016777773918977085,0.56434854367921,True
primary,en_only_named,"[""agent"", ""software""]",2024,2026,"[1658, 5610]","[0.8033775633293124, 0.8418894830659537]",0.038511919736641254,0.021899351037124516,0.016612568699516734,0.5686382602290505,True
primary,en_only_named,"[""agent"", ""software"", ""interactive""]",2024,2026,"[1658, 5609]","[0.8033775633293124, 0.8418612943483686]",0.03848373101905622,0.026684877663963293,0.01179885335509296,0.6934067190821384,True
primary,llm,"[""agent""]",2025,2026,"[3283, 5734]","[0.35516296070667075, 0.40268573421695153]",0.04752277351028078,0.004555919144223826,0.04296685436605699,0.09586812401086453,True
primary,llm,"[""agent"", ""software""]",2025,2026,"[3283, 5734]","[0.35516296070667075, 0.40268573421695153]",0.04752277351028078,0.004074899657821549,0.04344787385245925,0.08574625083571796,True
primary,llm,"[""agent"", ""software"", ""interactive""]",2025,2026,"[3283, 5733]","[0.35516296070667075, 0.4025815454386883]",0.047418584732017544,0.005356263295288776,0.042062321436728764,0.11295704681106117,True
primary,en_only,"[""agent""]",2025,2026,"[3279, 5728]","[0.7849954254345837, 0.8245460893854749]",0.03955066395089124,0.016876755936584886,0.022673908014306215,0.42671232921753727,True
primary,en_only,"[""agent"", ""software""]",2025,2026,"[3279, 5728]","[0.7849954254345837, 0.8245460893854749]",0.03955066395089124,0.01696563619175062,0.022585027759140508,0.4289595798648613,True
primary,en_only,"[""agent"", ""software"", ""interactive""]",2025,2026,"[3279, 5727]","[0.7849954254345837, 0.8245154531168151]",0.039520027682231396,0.019947648539774005,0.01957237914245741,0.5047478382395635,True
primary,en_only_named,"[""agent""]",2025,2026,"[3218, 5610]","[0.7998756991920447, 0.8418894830659537]",0.04201378387390897,0.01622390390135256,0.025789879972556374,0.38615669443255707,True
primary,en_only_named,"[""agent"", ""software""]",2025,2026,"[3218, 5610]","[0.7998756991920447, 0.8418894830659537]",0.04201378387390897,0.01644217079652958,0.025571613077379318,0.3913518202948712,True
primary,en_only_named,"[""agent"", ""software"", ""interactive""]",2025,2026,"[3218, 5609]","[0.7998756991920447, 0.8418612943483686]",0.04198559515632394,0.019433521814642217,0.02255207334168172,0.46286164915099715,True
same_year_version,llm,"[""agent""]",2024,2026,"[1315, 5734]","[0.25627376425855514, 0.40268573421695153]",0.1464119699583964,0.008045667185243702,0.1383663027731527,0.05495225006213572,True
same_year_version,llm,"[""agent"", ""software""]",2024,2026,"[1315, 5734]","[0.25627376425855514, 0.40268573421695153]",0.1464119699583964,0.007729888276983957,0.13868208168141244,0.05279546664921208,True
same_year_version,llm,"[""agent"", ""software"", ""interactive""]",2024,2026,"[1315, 5733]","[0.25627376425855514, 0.4025815454386883]",0.14630778118013316,0.010340150675930995,0.13596763050420216,0.07067396274160068,True
same_year_version,en_only,"[""agent""]",2024,2026,"[1313, 5728]","[0.789032749428789, 0.8245460893854749]",0.03551333995668593,0.02030982775129994,0.015203512205385895,0.57189292181673,True
same_year_version,en_only,"[""agent"", ""software""]",2024,2026,"[1313, 5728]","[0.789032749428789, 0.8245460893854749]",0.03551333995668593,0.021251353790208177,0.014261986166477609,0.5984048196009591,True
same_year_version,en_only,"[""agent"", ""software"", ""interactive""]",2024,2026,"[1313, 5727]","[0.789032749428789, 0.8245154531168151]",0.035482703688026085,0.02544447954128396,0.01003822414674214,0.717095285776388,True
same_year_version,en_only_named,"[""agent""]",2024,2026,"[1297, 5610]","[0.7987663839629915, 0.8418894830659537]",0.04312309910296219,0.021638865924779788,0.021484233178182273,0.5017929224686307,True
same_year_version,en_only_named,"[""agent"", ""software""]",2024,2026,"[1297, 5610]","[0.7987663839629915, 0.8418894830659537]",0.04312309910296219,0.021830834782167435,0.021292264320794695,0.5062445704573176,True
same_year_version,en_only_named,"[""agent"", ""software"", ""interactive""]",2024,2026,"[1297, 5609]","[0.7987663839629915, 0.8418612943483686]",0.04309491038537716,0.02652374454029158,0.016571165845085483,0.6154727856051312,True
same_year_version,llm,"[""agent""]",2025,2026,"[2728, 5734]","[0.3526392961876833, 0.40268573421695153]",0.050046438029268225,0.0023207672602219773,0.0477256707690463,0.04637227646180819,True
same_year_version,llm,"[""agent"", ""software""]",2025,2026,"[2728, 5734]","[0.3526392961876833, 0.40268573421695153]",0.050046438029268225,0.002090048481892596,0.04795638954737564,0.04176218256872329,True
same_year_version,llm,"[""agent"", ""software"", ""interactive""]",2025,2026,"[2728, 5733]","[0.3526392961876833, 0.4025815454386883]",0.04994224925100499,0.003792125056786322,0.04615012419421866,0.07593020165606604,True
same_year_version,en_only,"[""agent""]",2025,2026,"[2725, 5728]","[0.7787155963302752, 0.8245460893854749]",0.045830493055199706,0.018471258134993868,0.027359234920205717,0.40303424431298385,True
