cohort,year,metric,included_n,n,valid_n,share
primary,2024,agent,1683,152,1683,0.0903149138443256
primary,2024,software,1683,270,1683,0.16042780748663102
primary,2024,interactive,1683,160,1683,0.09506833036244801
primary,2024,fixed,1683,1611,1683,0.9572192513368984
primary,2024,runtime,1683,112,1683,0.06654783125371361
primary,2024,generated,1683,833,1683,0.494949494949495
primary,2024,llm,1683,433,1681,0.2575847709696609
primary,2024,reference,1683,1221,1681,0.7263533610945866
primary,2024,execution,1683,284,1681,0.16894705532421178
primary,2024,human_judge,1683,165,1681,0.09815585960737656
primary,2024,human_material,1683,1452,1683,0.8627450980392157
primary,2024,en_only,1683,1332,1677,0.7942754919499105
primary,2024,en_only_named,1683,1332,1658,0.8033775633293124
primary,2024,multiple_named,1683,215,1677,0.1282051282051282
primary,2025,agent,3284,428,3284,0.13032886723507917
primary,2025,software,3284,555,3284,0.1690012180267966
primary,2025,interactive,3284,507,3284,0.1543848964677223
primary,2025,fixed,3284,3129,3284,0.952801461632156
primary,2025,runtime,3284,230,3284,0.07003654080389768
primary,2025,generated,3284,1742,3283,0.5306122448979592
primary,2025,llm,3284,1166,3283,0.35516296070667075
primary,2025,reference,3284,2240,3283,0.6823027718550106
primary,2025,execution,3284,658,3283,0.20042643923240938
primary,2025,human_judge,3284,231,3283,0.07036247334754797
primary,2025,human_material,3284,2759,3283,0.8403898872982029
primary,2025,en_only,3284,2574,3279,0.7849954254345837
primary,2025,en_only_named,3284,2574,3218,0.7998756991920447
primary,2025,multiple_named,3284,446,3279,0.13601707837755414
primary,2026,agent,5734,1624,5734,0.2832228810603418
primary,2026,software,5734,1128,5734,0.19672131147540983
primary,2026,interactive,5734,1615,5733,0.2817024245595674
primary,2026,fixed,5734,5445,5733,0.9497645211930926
primary,2026,runtime,5734,429,5733,0.07482993197278912
primary,2026,generated,5734,2942,5734,0.5130798744332055
primary,2026,llm,5734,2309,5734,0.40268573421695153
primary,2026,reference,5734,3415,5734,0.5955702825252878
primary,2026,execution,5734,1631,5734,0.2844436693407743
primary,2026,human_judge,5734,268,5734,0.04673875130798744
primary,2026,human_material,5734,4532,5734,0.7903732124171607
primary,2026,en_only,5734,4723,5728,0.8245460893854749
primary,2026,en_only_named,5734,4723,5610,0.8418894830659537
primary,2026,multiple_named,5734,627,5728,0.1094622905027933
same_year_version,2024,agent,1317,116,1317,0.08807896735003796
same_year_version,2024,software,1317,211,1317,0.16021260440394836
same_year_version,2024,interactive,1317,128,1317,0.09719058466211086
same_year_version,2024,fixed,1317,1260,1317,0.9567198177676538
same_year_version,2024,runtime,1317,87,1317,0.06605922551252848
same_year_version,2024,generated,1317,647,1317,0.4912680334092635
same_year_version,2024,llm,1317,337,1315,0.25627376425855514
same_year_version,2024,reference,1317,951,1315,0.7231939163498099
same_year_version,2024,execution,1317,215,1315,0.1634980988593156
same_year_version,2024,human_judge,1317,139,1315,0.10570342205323194
same_year_version,2024,human_material,1317,1135,1317,0.8618071374335611
same_year_version,2024,en_only,1317,1036,1313,0.789032749428789
same_year_version,2024,en_only_named,1317,1036,1297,0.7987663839629915
same_year_version,2024,multiple_named,1317,158,1313,0.12033511043412033
same_year_version,2025,agent,2729,328,2729,0.12019054598754123
same_year_version,2025,software,2729,463,2729,0.16965921582997434
same_year_version,2025,interactive,2729,400,2729,0.14657383657017223
same_year_version,2025,fixed,2729,2605,2729,0.9545621106632466
same_year_version,2025,runtime,2729,190,2729,0.0696225723708318
same_year_version,2025,generated,2729,1463,2728,0.5362903225806451
same_year_version,2025,llm,2729,962,2728,0.3526392961876833
same_year_version,2025,reference,2729,1867,2728,0.6843841642228738
same_year_version,2025,execution,2729,528,2728,0.1935483870967742
same_year_version,2025,human_judge,2729,193,2728,0.07074780058651027
same_year_version,2025,human_material,2729,2287,2728,0.8383431085043989
same_year_version,2025,en_only,2729,2122,2725,0.7787155963302752
same_year_version,2025,en_only_named,2729,2122,2677,0.7926783713111692
same_year_version,2025,multiple_named,2729,373,2725,0.13688073394495412
same_year_version,2026,agent,5734,1624,5734,0.2832228810603418
same_year_version,2026,software,5734,1128,5734,0.19672131147540983
same_year_version,2026,interactive,5734,1615,5733,0.2817024245595674
same_year_version,2026,fixed,5734,5445,5733,0.9497645211930926
same_year_version,2026,runtime,5734,429,5733,0.07482993197278912
same_year_version,2026,generated,5734,2942,5734,0.5130798744332055
same_year_version,2026,llm,5734,2309,5734,0.40268573421695153
same_year_version,2026,reference,5734,3415,5734,0.5955702825252878
same_year_version,2026,execution,5734,1631,5734,0.2844436693407743
same_year_version,2026,human_judge,5734,268,5734,0.04673875130798744
same_year_version,2026,human_material,5734,4532,5734,0.7903732124171607
same_year_version,2026,en_only,5734,4723,5728,0.8245460893854749
same_year_version,2026,en_only_named,5734,4723,5610,0.8418894830659537
same_year_version,2026,multiple_named,5734,627,5728,0.1094622905027933
read_version_year,2024,agent,1246,109,1246,0.08747993579454254
read_version_year,2024,software,1246,204,1246,0.1637239165329053
read_version_year,2024,interactive,1246,128,1246,0.10272873194221509
read_version_year,2024,fixed,1246,1198,1246,0.9614767255216693
read_version_year,2024,runtime,1246,68,1246,0.05457463884430177
read_version_year,2024,generated,1246,591,1246,0.47431781701444625
read_version_year,2024,llm,1246,279,1244,0.22427652733118972
read_version_year,2024,reference,1246,898,1244,0.7218649517684887
read_version_year,2024,execution,1246,217,1244,0.17443729903536978
read_version_year,2024,human_judge,1246,156,1244,0.12540192926045016
read_version_year,2024,human_material,1246,1079,1246,0.8659711075441413
read_version_year,2024,en_only,1246,967,1243,0.7779565567176187
read_version_year,2024,en_only_named,1246,967,1223,0.7906786590351594
read_version_year,2024,multiple_named,1246,163,1243,0.13113435237329044
read_version_year,2025,agent,2882,340,2882,0.1179736294240111
read_version_year,2025,software,2882,491,2882,0.17036780013879252
read_version_year,2025,interactive,2882,400,2882,0.13879250520471895
read_version_year,2025,fixed,2882,2751,2882,0.9545454545454546
read_version_year,2025,runtime,2882,202,2882,0.07009021512838307
read_version_year,2025,generated,2882,1514,2881,0.5255119750086775
read_version_year,2025,llm,2882,944,2881,0.32766400555362724
read_version_year,2025,reference,2882,2000,2881,0.6942034015966678
read_version_year,2025,execution,2882,555,2881,0.1926414439430753
read_version_year,2025,human_judge,2882,215,2881,0.07462686567164178
read_version_year,2025,human_material,2882,2434,2881,0.8448455397431447
read_version_year,2025,en_only,2882,2248,2874,0.7821851078636047
read_version_year,2025,en_only_named,2882,2248,2826,0.7954706298655343
read_version_year,2025,multiple_named,2882,396,2874,0.13778705636743216
read_version_year,2026,agent,6973,1858,6973,0.26645633156460635
read_version_year,2026,software,6973,1339,6973,0.1920263874946221
read_version_year,2026,interactive,6973,1858,6972,0.26649454962707975
read_version_year,2026,fixed,6973,6618,6972,0.9492254733218589
read_version_year,2026,runtime,6973,522,6972,0.07487091222030981
read_version_year,2026,generated,6973,3583,6973,0.5138390936469238
read_version_year,2026,llm,6973,2785,6973,0.3993976767531909
read_version_year,2026,reference,6973,4236,6973,0.6074860174960562
read_version_year,2026,execution,6973,1925,6973,0.27606482145418043
read_version_year,2026,human_judge,6973,352,6973,0.050480424494478704
read_version_year,2026,human_material,6973,5580,6973,0.8002294564749749
read_version_year,2026,en_only,6973,5728,6964,0.8225157955198162
read_version_year,2026,en_only_named,6973,5728,6810,0.8411160058737152
read_version_year,2026,multiple_named,6973,785,6964,0.11272257323377369
