cohort,domain,year,valid_n,exposure_n,outcome_n,both_n,neither_n,exposure_only_n,outcome_only_n,exposure_share,outcome_share,p_exposed,p_unexposed,risk_difference,joint_share,independence_product,excess_joint_share,lift,agent_language,agent_n,interactive_n
primary,cybersecurity,all,569,290,234,143,188,147,91,0.5096660808435852,0.4112478031634446,0.49310344827586206,0.32616487455197135,0.1669385737238907,0.2513181019332162,0.209599056093847,0.041719045839369195,1.1990421455938698,"{""both_n"": 271, ""excess_joint_share"": 0.008972668110118265, ""exposure_n"": 286, ""exposure_only_n"": 15, ""exposure_share"": 0.5026362038664324, ""independence_product"": 0.4673014970919907, ""joint_share"": 0.47627416520210897, ""lift"": 1.019201025817283, ""neither_n"": 25, ""outcome_n"": 529, ""outcome_only_n"": 258, ""outcome_share"": 0.929701230228471, ""p_exposed"": 0.9475524475524476, ""p_unexposed"": 0.911660777385159, ""risk_difference"": 0.03589167016728856, ""valid_n"": 569}","{""n"": 286, ""share"": 0.5026362038664324, ""valid_n"": 569}","{""n"": 242, ""share"": 0.4253075571177504, ""valid_n"": 569}"
primary,cybersecurity,2024,51,30,17,11,15,19,6,0.5882352941176471,0.3333333333333333,0.36666666666666664,0.2857142857142857,0.08095238095238094,0.21568627450980393,0.19607843137254902,0.019607843137254916,1.1,"{""both_n"": 7, ""excess_joint_share"": 0.0019223375624759786, ""exposure_n"": 8, ""exposure_only_n"": 1, ""exposure_share"": 0.1568627450980392, ""independence_product"": 0.13533256439830835, ""joint_share"": 0.13725490196078433, ""lift"": 1.0142045454545454, ""neither_n"": 6, ""outcome_n"": 44, ""outcome_only_n"": 37, ""outcome_share"": 0.8627450980392157, ""p_exposed"": 0.875, ""p_unexposed"": 0.8604651162790697, ""risk_difference"": 0.014534883720930258, ""valid_n"": 51}","{""n"": 8, ""share"": 0.1568627450980392, ""valid_n"": 51}","{""n"": 9, ""share"": 0.17647058823529413, ""valid_n"": 51}"
primary,cybersecurity,2025,130,68,53,33,42,35,20,0.5230769230769231,0.4076923076923077,0.4852941176470588,0.3225806451612903,0.1627134724857685,0.25384615384615383,0.21325443786982248,0.04059171597633135,1.1903440621531631,"{""both_n"": 47, ""excess_joint_share"": 0.010710059171597619, ""exposure_n"": 49, ""exposure_only_n"": 2, ""exposure_share"": 0.3769230769230769, ""independence_product"": 0.3508284023668639, ""joint_share"": 0.36153846153846153, ""lift"": 1.0305279136447967, ""neither_n"": 7, ""outcome_n"": 121, ""outcome_only_n"": 74, ""outcome_share"": 0.9307692307692308, ""p_exposed"": 0.9591836734693877, ""p_unexposed"": 0.9135802469135802, ""risk_difference"": 0.045603426555807514, ""valid_n"": 130}","{""n"": 49, ""share"": 0.3769230769230769, ""valid_n"": 130}","{""n"": 51, ""share"": 0.3923076923076923, ""valid_n"": 130}"
primary,cybersecurity,2026,388,192,164,99,131,93,65,0.4948453608247423,0.422680412371134,0.515625,0.33163265306122447,0.18399234693877553,0.2551546391752577,0.20916144117334468,0.04599319800191304,1.2198932926829267,"{""both_n"": 217, ""excess_joint_share"": 0.005579764055691383, ""exposure_n"": 229, ""exposure_only_n"": 12, ""exposure_share"": 0.5902061855670103, ""independence_product"": 0.5536985864597725, ""joint_share"": 0.5592783505154639, ""lift"": 1.010077258985556, ""neither_n"": 12, ""outcome_n"": 364, ""outcome_only_n"": 147, ""outcome_share"": 0.9381443298969072, ""p_exposed"": 0.9475982532751092, ""p_unexposed"": 0.9245283018867925, ""risk_difference"": 0.02306995138831669, ""valid_n"": 388}","{""n"": 229, ""share"": 0.5902061855670103, ""valid_n"": 388}","{""n"": 182, ""share"": 0.4690721649484536, ""valid_n"": 388}"
primary,education,all,255,138,127,86,76,52,41,0.5411764705882353,0.4980392156862745,0.6231884057971014,0.3504273504273504,0.27276105536975104,0.33725490196078434,0.2695271049596309,0.06772779700115344,1.2512838069154402,"{""both_n"": 30, ""excess_joint_share"": 0.022975778546712802, ""exposure_n"": 36, ""exposure_only_n"": 6, ""exposure_share"": 0.1411764705882353, ""independence_product"": 0.09467128027681661, ""joint_share"": 0.11764705882352941, ""lift"": 1.2426900584795322, ""neither_n"": 78, ""outcome_n"": 171, ""outcome_only_n"": 141, ""outcome_share"": 0.6705882352941176, ""p_exposed"": 0.8333333333333334, ""p_unexposed"": 0.6438356164383562, ""risk_difference"": 0.1894977168949772, ""valid_n"": 255}","{""n"": 36, ""share"": 0.1411764705882353, ""valid_n"": 255}","{""n"": 48, ""share"": 0.18823529411764706, ""valid_n"": 255}"
primary,education,2024,35,15,14,8,14,7,6,0.42857142857142855,0.4,0.5333333333333333,0.3,0.23333333333333334,0.22857142857142856,0.17142857142857143,0.057142857142857134,1.3333333333333333,"{""both_n"": 2, ""excess_joint_share"": 0.0163265306122449, ""exposure_n"": 2, ""exposure_only_n"": 0, ""exposure_share"": 0.05714285714285714, ""independence_product"": 0.04081632653061224, ""joint_share"": 0.05714285714285714, ""lift"": 1.4000000000000001, ""neither_n"": 10, ""outcome_n"": 25, ""outcome_only_n"": 23, ""outcome_share"": 0.7142857142857143, ""p_exposed"": 1.0, ""p_unexposed"": 0.696969696969697, ""risk_difference"": 0.303030303030303, ""valid_n"": 35}","{""n"": 2, ""share"": 0.05714285714285714, ""valid_n"": 35}","{""n"": 3, ""share"": 0.08571428571428572, ""valid_n"": 35}"
primary,education,2025,71,36,31,20,24,16,11,0.5070422535211268,0.43661971830985913,0.5555555555555556,0.3142857142857143,0.2412698412698413,0.28169014084507044,0.22138464590359055,0.06030549494147988,1.2724014336917564,"{""both_n"": 2, ""excess_joint_share"": 0.011902400317397342, ""exposure_n"": 2, ""exposure_only_n"": 0, ""exposure_share"": 0.028169014084507043, ""independence_product"": 0.0162666137671097, ""joint_share"": 0.028169014084507043, ""lift"": 1.7317073170731707, ""neither_n"": 30, ""outcome_n"": 41, ""outcome_only_n"": 39, ""outcome_share"": 0.5774647887323944, ""p_exposed"": 1.0, ""p_unexposed"": 0.5652173913043478, ""risk_difference"": 0.4347826086956522, ""valid_n"": 71}","{""n"": 2, ""share"": 0.028169014084507043, ""valid_n"": 71}","{""n"": 8, ""share"": 0.11267605633802817, ""valid_n"": 71}"
primary,education,2026,149,87,82,58,38,29,24,0.5838926174496645,0.5503355704697986,0.6666666666666666,0.3870967741935484,0.27956989247311825,0.38926174496644295,0.32133687671726496,0.06792486824917798,1.2113821138211383,"{""both_n"": 26, ""excess_joint_share"": 0.023152110265303366, ""exposure_n"": 32, ""exposure_only_n"": 6, ""exposure_share"": 0.21476510067114093, ""independence_product"": 0.15134453402999865, ""joint_share"": 0.174496644295302, ""lift"": 1.1529761904761906, ""neither_n"": 38, ""outcome_n"": 105, ""outcome_only_n"": 79, ""outcome_share"": 0.7046979865771812, ""p_exposed"": 0.8125, ""p_unexposed"": 0.6752136752136753, ""risk_difference"": 0.13728632478632474, ""valid_n"": 149}","{""n"": 32, ""share"": 0.21476510067114093, ""valid_n"": 149}","{""n"": 37, ""share"": 0.2483221476510067, ""valid_n"": 149}"
primary,engineering,all,780,325,230,121,346,204,109,0.4166666666666667,0.2948717948717949,0.3723076923076923,0.23956043956043957,0.13274725274725271,0.15512820512820513,0.12286324786324786,0.032264957264957275,1.262608695652174,"{""both_n"": 155, ""excess_joint_share"": 0.005358316896778431, ""exposure_n"": 170, ""exposure_only_n"": 15, ""exposure_share"": 0.21794871794871795, ""independence_product"": 0.19335963182117027, ""joint_share"": 0.1987179487179487, ""lift"": 1.027711662699762, ""neither_n"": 73, ""outcome_n"": 692, ""outcome_only_n"": 537, ""outcome_share"": 0.8871794871794871, ""p_exposed"": 0.9117647058823529, ""p_unexposed"": 0.8803278688524591, ""risk_difference"": 0.03143683702989386, ""valid_n"": 780}","{""n"": 170, ""share"": 0.21794871794871795, ""valid_n"": 780}","{""n"": 255, ""share"": 0.3269230769230769, ""valid_n"": 780}"
primary,engineering,2024,61,23,20,11,29,12,9,0.3770491803278688,0.32786885245901637,0.4782608695652174,0.23684210526315788,0.24141876430205952,0.18032786885245902,0.1236226820747111,0.056705186777747926,1.4586956521739132,"{""both_n"": 3, ""excess_joint_share"": 0.007256113947863477, ""exposure_n"": 3, ""exposure_only_n"": 0, ""exposure_share"": 0.04918032786885246, ""independence_product"": 0.04192421392098898, ""joint_share"": 0.04918032786885246, ""lift"": 1.1730769230769231, ""neither_n"": 9, ""outcome_n"": 52, ""outcome_only_n"": 49, ""outcome_share"": 0.8524590163934426, ""p_exposed"": 1.0, ""p_unexposed"": 0.8448275862068966, ""risk_difference"": 0.15517241379310343, ""valid_n"": 61}","{""n"": 3, ""share"": 0.04918032786885246, ""valid_n"": 61}","{""n"": 9, ""share"": 0.14754098360655737, ""valid_n"": 61}"
