window,year,field,included_n,valid_n,missing_n,sentinel_present_n,other_n
observed,all,target_system,14767,14767,0,0,0
observed,all,evaluation_domain,14767,14767,0,0,566
observed,all,evaluation_setup,14767,14766,1,0,0
observed,all,modality,14767,14767,0,0,0
observed,all,material_origin,14767,14766,1,35,0
observed,all,scoring_source,14767,14764,3,17,0
observed,all,task_language,14767,14741,26,304,0
observed,2022,target_system,160,160,0,0,0
observed,2022,evaluation_domain,160,160,0,0,5
observed,2022,evaluation_setup,160,160,0,0,0
observed,2022,modality,160,160,0,0,0
observed,2022,material_origin,160,160,0,0,0
observed,2022,scoring_source,160,160,0,0,0
observed,2022,task_language,160,160,0,2,0
observed,2023,target_system,861,861,0,0,0
observed,2023,evaluation_domain,861,861,0,0,15
observed,2023,evaluation_setup,861,861,0,0,0
observed,2023,modality,861,861,0,0,0
observed,2023,material_origin,861,861,0,0,0
observed,2023,scoring_source,861,861,0,0,0
observed,2023,task_language,861,859,2,18,0
observed,2024,target_system,2735,2735,0,0,0
observed,2024,evaluation_domain,2735,2735,0,0,79
observed,2024,evaluation_setup,2735,2735,0,0,0
observed,2024,modality,2735,2735,0,0,0
observed,2024,material_origin,2735,2735,0,2,0
observed,2024,scoring_source,2735,2733,2,4,0
observed,2024,task_language,2735,2726,9,42,0
observed,2025,target_system,5277,5277,0,0,0
observed,2025,evaluation_domain,5277,5277,0,0,213
observed,2025,evaluation_setup,5277,5277,0,0,0
observed,2025,modality,5277,5277,0,0,0
observed,2025,material_origin,5277,5276,1,12,0
observed,2025,scoring_source,5277,5276,1,7,0
observed,2025,task_language,5277,5268,9,124,0
observed,2026,target_system,5734,5734,0,0,0
observed,2026,evaluation_domain,5734,5734,0,0,254
observed,2026,evaluation_setup,5734,5733,1,0,0
observed,2026,modality,5734,5734,0,0,0
observed,2026,material_origin,5734,5734,0,21,0
observed,2026,scoring_source,5734,5734,0,6,0
observed,2026,task_language,5734,5728,6,118,0
jan_aug,all,target_system,11146,11146,0,0,0
jan_aug,all,evaluation_domain,11146,11146,0,0,432
jan_aug,all,evaluation_setup,11146,11145,1,0,0
jan_aug,all,modality,11146,11146,0,0,0
jan_aug,all,material_origin,11146,11145,1,28,0
jan_aug,all,scoring_source,11146,11143,3,15,0
jan_aug,all,task_language,11146,11128,18,210,0
jan_aug,2022,target_system,69,69,0,0,0
jan_aug,2022,evaluation_domain,69,69,0,0,1
jan_aug,2022,evaluation_setup,69,69,0,0,0
jan_aug,2022,modality,69,69,0,0,0
jan_aug,2022,material_origin,69,69,0,0,0
jan_aug,2022,scoring_source,69,69,0,0,0
jan_aug,2022,task_language,69,69,0,2,0
jan_aug,2023,target_system,376,376,0,0,0
jan_aug,2023,evaluation_domain,376,376,0,0,7
jan_aug,2023,evaluation_setup,376,376,0,0,0
jan_aug,2023,modality,376,376,0,0,0
jan_aug,2023,material_origin,376,376,0,0,0
jan_aug,2023,scoring_source,376,376,0,0,0
jan_aug,2023,task_language,376,375,1,10,0
jan_aug,2024,target_system,1683,1683,0,0,0
jan_aug,2024,evaluation_domain,1683,1683,0,0,41
jan_aug,2024,evaluation_setup,1683,1683,0,0,0
jan_aug,2024,modality,1683,1683,0,0,0
jan_aug,2024,material_origin,1683,1683,0,1,0
jan_aug,2024,scoring_source,1683,1681,2,2,0
jan_aug,2024,task_language,1683,1677,6,19,0
jan_aug,2025,target_system,3284,3284,0,0,0
jan_aug,2025,evaluation_domain,3284,3284,0,0,129
jan_aug,2025,evaluation_setup,3284,3284,0,0,0
jan_aug,2025,modality,3284,3284,0,0,0
jan_aug,2025,material_origin,3284,3283,1,6,0
jan_aug,2025,scoring_source,3284,3283,1,7,0
jan_aug,2025,task_language,3284,3279,5,61,0
jan_aug,2026,target_system,5734,5734,0,0,0
jan_aug,2026,evaluation_domain,5734,5734,0,0,254
jan_aug,2026,evaluation_setup,5734,5733,1,0,0
jan_aug,2026,modality,5734,5734,0,0,0
jan_aug,2026,material_origin,5734,5734,0,21,0
jan_aug,2026,scoring_source,5734,5734,0,6,0
jan_aug,2026,task_language,5734,5728,6,118,0
