window,year,field,label,n,valid_n,missing_n,included_n,share,sentinel_present_n,known_n,known_positive_n,known_share
observed,all,target_system,agent_or_tool_system,2752,14767,0,14767,0.18636148168212907,0,14767,2752,0.18636148168212907
observed,all,target_system,answering_model,12430,14767,0,14767,0.8417417214058374,0,14767,12430,0.8417417214058374
observed,all,target_system,embodied_system,304,14767,0,14767,0.02058644274395612,0,14767,304,0.02058644274395612
observed,all,evaluation_domain,cybersecurity,740,14767,0,14767,0.050111735626735286,0,14767,740,0.050111735626735286
observed,all,evaluation_domain,education,321,14767,0,14767,0.021737658292137876,0,14767,321,0.021737658292137876
observed,all,evaluation_domain,engineering,1045,14767,0,14767,0.07076589693234915,0,14767,1045,0.07076589693234915
observed,all,evaluation_domain,finance_and_business,1325,14767,0,14767,0.08972709419651927,0,14767,1325,0.08972709419651927
observed,all,evaluation_domain,general_or_cross_domain,6200,14767,0,14767,0.4198550822780524,0,14767,6200,0.4198550822780524
observed,all,evaluation_domain,healthcare_biomedicine,1675,14767,0,14767,0.1134285907767319,0,14767,1675,0.1134285907767319
observed,all,evaluation_domain,language_and_communication,2281,14767,0,14767,0.15446603914132864,0,14767,2281,0.15446603914132864
observed,all,evaluation_domain,law_and_public_policy,511,14767,0,14767,0.03460418500711045,0,14767,511,0.03460418500711045
observed,all,evaluation_domain,mathematics_and_formal_reasoning,1587,14767,0,14767,0.10746935735084986,0,14767,1587,0.10746935735084986
observed,all,evaluation_domain,natural_sciences,1273,14767,0,14767,0.08620572899031624,0,14767,1273,0.08620572899031624
observed,all,evaluation_domain,other,566,14767,0,14767,0.03832870589828672,0,14767,566,0.03832870589828672
observed,all,evaluation_domain,social_sciences_and_humanities,1699,14767,0,14767,0.11505383625651791,0,14767,1699,0.11505383625651791
observed,all,evaluation_domain,software_and_coding,2653,14767,0,14767,0.1796573440780118,0,14767,2653,0.1796573440780118
observed,all,evaluation_setup,fixed_items,14048,14766,1,14767,0.9513747798997697,0,14766,14048,0.9513747798997697
observed,all,evaluation_setup,interactive_loop,2888,14766,1,14767,0.19558445076527156,0,14766,2888,0.19558445076527156
observed,all,evaluation_setup,runtime_generated_items,1056,14766,1,14767,0.07151564404713531,0,14766,1056,0.07151564404713531
observed,all,modality,audio,683,14767,0,14767,0.046251777612243514,0,14767,683,0.046251777612243514
observed,all,modality,code,2515,14767,0,14767,0.17031218256924224,0,14767,2515,0.17031218256924224
observed,all,modality,image,3785,14767,0,14767,0.25631475587458524,0,14767,3785,0.25631475587458524
observed,all,modality,structured_data,2279,14767,0,14767,0.15433060201801313,0,14767,2279,0.15433060201801313
observed,all,modality,text,14619,14767,0,14767,0.9899776528746529,0,14767,14619,0.9899776528746529
observed,all,modality,video,1049,14767,0,14767,0.07103677117898016,0,14767,1049,0.07103677117898016
observed,all,material_origin,generative_model,7415,14766,1,14767,0.5021671407287011,35,14731,7415,0.5033602606747675
observed,all,material_origin,human_or_real_world,12182,14766,1,14767,0.8250033861573886,35,14731,12182,0.8269635462629829
observed,all,material_origin,not_reported,25,14766,1,14767,0.0016930786942977109,35,14731,0,0.0
observed,all,material_origin,program_or_simulation,4203,14766,1,14767,0.28464039008533115,35,14731,4203,0.2853166791120766
observed,all,material_origin,unclear,10,14766,1,14767,0.0006772314777190844,35,14731,0,0.0
observed,all,scoring_source,execution_or_environment,3362,14764,3,14767,0.22771606610674613,17,14747,3362,0.22797857191293144
observed,all,scoring_source,human_judge,1050,14764,3,14767,0.07111893795719318,17,14747,1050,0.07120092222146877
observed,all,scoring_source,llm_judge,5123,14764,3,14767,0.3469926849092387,17,14747,5123,0.3473926900386519
observed,all,scoring_source,other_model_judge,1318,14764,3,14767,0.08927120021674342,17,14747,1318,0.08937410998847223
observed,all,scoring_source,reference_or_metric,9717,14764,3,14767,0.6581549715524249,17,14747,9717,0.6589136773581067
observed,all,scoring_source,unclear,17,14764,3,14767,0.0011514494716878894,17,14747,0,0.0
observed,all,task_language,aa,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,abl,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,abs,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,ace,2,14741,26,14767,0.00013567600569839224,304,14437,2,0.0001385329362055829
observed,all,task_language,acm,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,acq,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,ado,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,aeb,2,14741,26,14767,0.00013567600569839224,304,14437,2,0.0001385329362055829
observed,all,task_language,af,20,14741,26,14767,0.0013567600569839224,304,14437,18,0.0012467964258502458
observed,all,task_language,afb,2,14741,26,14767,0.00013567600569839224,304,14437,2,0.0001385329362055829
observed,all,task_language,ak,5,14741,26,14767,0.0003391900142459806,304,14437,5,0.0003463323405139572
observed,all,task_language,als,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,am,35,14741,26,14767,0.002374330099721864,304,14437,34,0.002355059915494909
observed,all,task_language,anp,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,aoz,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,apc,3,14741,26,14767,0.00020351400854758835,304,14437,3,0.00020779940430837432
observed,all,task_language,ar,325,14741,26,14767,0.022047350925988737,304,14437,306,0.02119553923945418
observed,all,task_language,arq,2,14741,26,14767,0.00013567600569839224,304,14437,2,0.0001385329362055829
observed,all,task_language,ary,3,14741,26,14767,0.00020351400854758835,304,14437,3,0.00020779940430837432
observed,all,task_language,arz,7,14741,26,14767,0.0004748660199443728,304,14437,7,0.0004848652767195401
observed,all,task_language,as,28,14741,26,14767,0.0018994640797774913,304,14437,27,0.001870194638775369
observed,all,task_language,ase,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,ast,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,awa,2,14741,26,14767,0.00013567600569839224,304,14437,2,0.0001385329362055829
observed,all,task_language,ay,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,az,18,14741,26,14767,0.0012210840512855302,304,14437,17,0.0011775299577474546
observed,all,task_language,bal,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,ban,3,14741,26,14767,0.00020351400854758835,304,14437,3,0.00020779940430837432
observed,all,task_language,bar,5,14741,26,14767,0.0003391900142459806,304,14437,5,0.0003463323405139572
observed,all,task_language,bbc,2,14741,26,14767,0.00013567600569839224,304,14437,2,0.0001385329362055829
observed,all,task_language,bbj,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,be,11,14741,26,14767,0.0007462180313411573,304,14437,11,0.0007619311491307058
observed,all,task_language,bew,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,bfy,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,bg,43,14741,26,14767,0.0029170341225154333,304,14437,40,0.0027706587241116574
observed,all,task_language,bgc,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,bho,4,14741,26,14767,0.0002713520113967845,304,14437,4,0.0002770658724111658
observed,all,task_language,bjn,3,14741,26,14767,0.00020351400854758835,304,14437,3,0.00020779940430837432
observed,all,task_language,bm,3,14741,26,14767,0.00020351400854758835,304,14437,3,0.00020779940430837432
observed,all,task_language,bn,178,14741,26,14767,0.01207516450715691,304,14437,167,0.01156750017316617
observed,all,task_language,bns,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,bo,8,14741,26,14767,0.000542704022793569,304,14437,7,0.0004848652767195401
observed,all,task_language,br,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,bra,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,brx,2,14741,26,14767,0.00013567600569839224,304,14437,2,0.0001385329362055829
observed,all,task_language,bs,8,14741,26,14767,0.000542704022793569,304,14437,8,0.0005541317448223315
observed,all,task_language,bug,2,14741,26,14767,0.00013567600569839224,304,14437,2,0.0001385329362055829
observed,all,task_language,ca,28,14741,26,14767,0.0018994640797774913,304,14437,26,0.0018009281706725775
observed,all,task_language,ceb,10,14741,26,14767,0.0006783800284919612,304,14437,8,0.0005541317448223315
observed,all,task_language,ckb,3,14741,26,14767,0.00020351400854758835,304,14437,3,0.00020779940430837432
observed,all,task_language,co,3,14741,26,14767,0.00020351400854758835,304,14437,3,0.00020779940430837432
observed,all,task_language,crh,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,cs,73,14741,26,14767,0.004952174207991317,304,14437,70,0.004848652767195401
observed,all,task_language,ctg,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,cv,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,cy,11,14741,26,14767,0.0007462180313411573,304,14437,10,0.0006926646810279144
observed,all,task_language,da,46,14741,26,14767,0.0031205481310630214,304,14437,42,0.0029091916603172403
observed,all,task_language,dag,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,de,374,14741,26,14767,0.025371413065599348,304,14437,349,0.024173997367874213
observed,all,task_language,doi,6,14741,26,14767,0.0004070280170951767,304,14437,6,0.00041559880861674863
observed,all,task_language,dsb,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,dv,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,dz,4,14741,26,14767,0.0002713520113967845,304,14437,4,0.0002770658724111658
observed,all,task_language,ee,4,14741,26,14767,0.0002713520113967845,304,14437,4,0.0002770658724111658
observed,all,task_language,el,73,14741,26,14767,0.004952174207991317,304,14437,68,0.004710119830989818
observed,all,task_language,en,13587,14741,26,14767,0.9217149447120276,304,14437,13486,0.9341275888342453
observed,all,task_language,eo,7,14741,26,14767,0.0004748660199443728,304,14437,6,0.00041559880861674863
observed,all,task_language,es,417,14741,26,14767,0.028288447188114782,304,14437,391,0.027083189028191453
observed,all,task_language,et,31,14741,26,14767,0.0021029780883250796,304,14437,28,0.0019394611068781604
observed,all,task_language,eu,26,14741,26,14767,0.001763788074079099,304,14437,23,0.001593128766364203
observed,all,task_language,fa,91,14741,26,14767,0.0061732582592768466,304,14437,86,0.005956916256840064
observed,all,task_language,ff,1,14741,26,14767,6.783800284919612e-05,304,14437,1,6.926646810279144e-05
observed,all,task_language,fi,58,14741,26,14767,0.003934604165253375,304,14437,52,0.003601856341345155
observed,all,task_language,fil,21,14741,26,14767,0.0014245980598331185,304,14437,21,0.0014545958301586202
observed,all,task_language,fj,2,14741,26,14767,0.00013567600569839224,304,14437,2,0.0001385329362055829
