window,year,group,metric,n,valid_n,included_n,missing_n,share,known_n,known_positive_n,known_share,sparse
observed,all,all,en_only,11819,14741,14767,26,0.8017773556746489,14437,11819,0.818660386506892,False
observed,all,all,en_any,13587,14741,14767,26,0.9217149447120276,14437,13486,0.9341275888342453,False
observed,all,all,named_non_en,2680,14741,14767,26,0.1818058476358456,14437,2618,0.18133961349310798,False
observed,all,all,multiple_named,1798,14741,14767,26,0.12197272912285462,14437,1739,0.12045438803075431,False
observed,all,all,sentinel_present,304,14741,14767,26,0.02062275286615562,14437,0,0.0,False
observed,all,agent,en_only,2452,2752,2752,0,0.8909883720930233,2705,2452,0.9064695009242144,False
observed,all,agent,en_any,2656,2752,2752,0,0.9651162790697675,2705,2641,0.9763401109057301,False
observed,all,agent,named_non_en,263,2752,2752,0,0.09556686046511628,2705,253,0.09353049907578559,False
observed,all,agent,multiple_named,199,2752,2752,0,0.07231104651162791,2705,190,0.07024029574861368,False
observed,all,agent,sentinel_present,47,2752,2752,0,0.017078488372093022,2705,0,0.0,False
observed,all,non_agent,en_only,9367,11989,12015,26,0.7812995245641838,11732,9367,0.7984145925673372,False
observed,all,non_agent,en_any,10931,11989,12015,26,0.9117524397364251,11732,10845,0.9243948175929083,False
observed,all,non_agent,named_non_en,2417,11989,12015,26,0.20160146801234466,11732,2365,0.2015854074326628,False
observed,all,non_agent,multiple_named,1599,11989,12015,26,0.13337225790307783,11732,1549,0.13203204909648825,False
observed,all,non_agent,sentinel_present,257,11989,12015,26,0.021436316623571608,11732,0,0.0,False
observed,all,domain:cybersecurity,en_only,685,740,740,0,0.9256756756756757,729,685,0.9396433470507545,False
observed,all,domain:cybersecurity,en_any,730,740,740,0,0.9864864864864865,729,723,0.9917695473251029,False
observed,all,domain:cybersecurity,named_non_en,45,740,740,0,0.060810810810810814,729,44,0.06035665294924554,False
observed,all,domain:cybersecurity,multiple_named,39,740,740,0,0.052702702702702706,729,38,0.05212620027434842,False
observed,all,domain:cybersecurity,sentinel_present,11,740,740,0,0.014864864864864866,729,0,0.0,False
observed,all,domain:education,en_only,213,321,321,0,0.6635514018691588,310,213,0.6870967741935484,False
observed,all,domain:education,en_any,262,321,321,0,0.8161993769470405,310,260,0.8387096774193549,False
observed,all,domain:education,named_non_en,99,321,321,0,0.308411214953271,310,97,0.31290322580645163,False
observed,all,domain:education,multiple_named,51,321,321,0,0.1588785046728972,310,49,0.15806451612903225,False
observed,all,domain:education,sentinel_present,11,321,321,0,0.03426791277258567,310,0,0.0,False
observed,all,domain:engineering,en_only,922,1045,1045,0,0.8822966507177034,1021,922,0.9030362389813908,False
observed,all,domain:engineering,en_any,990,1045,1045,0,0.9473684210526315,1021,985,0.9647404505386875,False
observed,all,domain:engineering,named_non_en,102,1045,1045,0,0.09760765550239234,1021,99,0.0969637610186092,False
observed,all,domain:engineering,multiple_named,66,1045,1045,0,0.06315789473684211,1021,63,0.061704211557296766,False
observed,all,domain:engineering,sentinel_present,24,1045,1045,0,0.022966507177033493,1021,0,0.0,False
observed,all,domain:finance_and_business,en_only,999,1324,1325,1,0.7545317220543807,1295,999,0.7714285714285715,False
observed,all,domain:finance_and_business,en_any,1179,1324,1325,1,0.8904833836858006,1295,1172,0.905019305019305,False
observed,all,domain:finance_and_business,named_non_en,301,1324,1325,1,0.22734138972809667,1295,296,0.22857142857142856,False
observed,all,domain:finance_and_business,multiple_named,182,1324,1325,1,0.13746223564954682,1295,177,0.13667953667953667,False
observed,all,domain:finance_and_business,sentinel_present,29,1324,1325,1,0.02190332326283988,1295,0,0.0,False
observed,all,domain:general_or_cross_domain,en_only,5090,6190,6200,10,0.8222940226171244,6077,5090,0.8375843343755143,False
observed,all,domain:general_or_cross_domain,en_any,5857,6190,6200,10,0.9462035541195477,6077,5803,0.954911963139707,False
observed,all,domain:general_or_cross_domain,named_non_en,1026,6190,6200,10,0.16575121163166398,6077,987,0.16241566562448576,False
observed,all,domain:general_or_cross_domain,multiple_named,778,6190,6200,10,0.125686591276252,6077,740,0.12177061049860129,False
observed,all,domain:general_or_cross_domain,sentinel_present,113,6190,6200,10,0.01825525040387722,6077,0,0.0,False
