month,year,calendar_month,included_n,frame_n,m0_retained_n,same_year_version_n,identified_per10000_frame,included_per_m0_retained,fulltext_candidates_n,within_year_month_share,frame_share_within_year,frame_normalized_month_index,same_year_version_month_share,local_neighbor_ratio
2022-01,2022,1,4,13537,2031,4,2.954864445593558,0.0019694731659281144,7,0.025,0.07278465699215536,0.34347898352663075,0.0392156862745098,
2022-02,2022,2,4,14028,2105,4,2.8514399771884804,0.0019002375296912114,8,0.025,0.07542462645238646,0.3314567293983462,0.0392156862745098,0.7500774737239823
2022-03,2022,3,8,17211,2582,5,4.6481901109755395,0.003098373353989156,12,0.05,0.09253872582492324,0.5403143338562548,0.049019607843137254,0.954787548064416
2022-04,2022,4,10,14524,2179,8,6.885155604516662,0.004589261128958238,14,0.0625,0.0780914795120089,0.8003433971357753,0.0784313725490196,0.6961523979946339
2022-05,2022,5,24,15860,2379,20,15.132408575031526,0.01008827238335435,26,0.15,0.08527477726937904,1.7590195460277427,0.19607843137254902,2.163289924083653
2022-06,2022,6,11,15482,2323,5,7.1050251905438575,0.004735256134309083,14,0.06875,0.08324237715539258,0.8259014500710503,0.049019607843137254,0.8311594799725192
2022-07,2022,7,3,15273,2291,2,1.9642506383814575,0.0013094718463553033,5,0.01875,0.08211864270083392,0.2283281771754076,0.0196078431372549,0.37300513586727446
2022-08,2022,8,5,14590,2189,3,3.4270047978067173,0.0022841480127912287,5,0.03125,0.0784463430239748,0.39836146333104866,0.029411764705882353,0.7098864095030114
2022-09,2022,9,12,15603,2341,10,7.690828686791002,0.0051260145237078175,17,0.075,0.08389296026066338,0.8939963468563737,0.09803921568627451,0.8472620559004793
2022-10,2022,10,26,17654,2649,19,14.727540500736376,0.009815024537561345,39,0.1625,0.09492061273099733,1.7119569219440354,0.18627450980392157,1.859668187811217
2022-11,2022,11,14,17182,2578,8,8.148061925270632,0.005430566330488751,23,0.0875,0.09238280094845339,0.947145995809568,0.0784313725490196,0.4008569004571501
2022-12,2022,12,39,15043,2257,14,25.92567971814133,0.017279574656623838,43,0.24375,0.08088199712883158,3.0136496210862194,0.13725490196078433,
2023-01,2023,1,7,13708,2057,7,5.106507149110009,0.003403014098201264,11,0.008130081300813009,0.06551829618017053,0.12408871681363445,0.013806706114398421,
2023-02,2023,2,17,14854,2229,13,11.444728692608052,0.00762673844773441,26,0.019744483159117306,0.07099567927197645,0.2781082364671576,0.02564102564102564,1.5913744930695823
2023-03,2023,3,17,18325,2749,15,9.27694406548431,0.0061840669334303384,24,0.019744483159117306,0.08758555423851948,0.2254308182528327,0.029585798816568046,0.7025089507085054
2023-04,2023,4,23,15368,2306,17,14.966163456533055,0.00997398091934085,30,0.026713124274099883,0.07345237640041295,0.3636795102241199,0.03353057199211045,0.41323715170581915
2023-05,2023,5,125,19792,2969,91,63.15683104284559,0.04210171775008421,148,0.14518002322880372,0.09459717814399878,1.5347183296293063,0.1794871794871795,2.2486071669294017
2023-06,2023,6,73,17715,2658,54,41.20801580581428,0.02746425884123401,93,0.08478513356562137,0.08467001873590028,1.0013595701458404,0.10650887573964497,0.9270030055649252
2023-07,2023,7,44,17088,2564,33,25.74906367041198,0.0171606864274571,54,0.05110336817653891,0.08167323060451956,0.6257052377907407,0.0650887573964497,0.623177771744586
2023-08,2023,8,70,16896,2535,40,41.42992424242424,0.027613412228796843,87,0.08130081300813008,0.08075555385615417,1.0067519709288002,0.07889546351084813,1.245215420346047
2023-09,2023,9,73,17895,2685,37,40.79351774238614,0.027188081936685288,90,0.08478513356562137,0.08553034068749284,0.9912872190630658,0.07297830374753451,0.6482174739453123
