measure,mode,budget_pct_each_year,k2024,n2024,k2026,n2026,observed_delta_pp,lower_delta_pp,upper_delta_pp,sign_preserved
agent,label_flips,0,152,1683,1624,5734,19.290796721601623,19.290796721601623,19.290796721601623,True
agent,label_flips,1,152,1683,1624,5734,19.290796721601623,17.346042961053527,21.235550482149712,True
agent,label_flips,3,152,1683,1624,5734,19.290796721601623,13.320260194426675,25.26133324877657,True
agent,label_flips,5,152,1683,1624,5734,19.290796721601623,9.311917260377426,29.269676182825815,True
agent,label_flips,10,152,1683,1624,5734,19.290796721601623,-0.6844020334243778,38.31531217300314,False
agent,ineligible_removal,0,152,1683,1624,5734,19.290796721601623,19.290796721601623,19.290796721601623,True
agent,ineligible_removal,1,152,1683,1624,5734,19.290796721601623,18.48443064601806,20.44829012002778,True
agent,ineligible_removal,3,152,1683,1624,5734,19.290796721601623,16.797695322537923,22.95195748070022,True
agent,ineligible_removal,5,152,1683,1624,5734,19.290796721601623,15.053530152380478,25.55644634724897,True
agent,ineligible_removal,10,152,1683,1624,5734,19.290796721601623,10.331267189885041,31.466770005812826,True
interaction,label_flips,0,160,1683,1615,5733,18.66340941971194,18.66340941971194,18.66340941971194,True
interaction,label_flips,1,160,1683,1615,5733,18.66340941971194,16.71848226470075,20.60833657472313,True
interaction,label_flips,3,160,1683,1615,5733,18.66340941971194,12.709792541725317,24.61702629769857,True
interaction,label_flips,5,160,1683,1615,5733,18.66340941971194,8.683659944164146,28.643158895259734,True
interaction,label_flips,10,160,1683,1615,5733,18.66340941971194,-1.313532405969378,38.165009593581026,False
interaction,ineligible_removal,0,160,1683,1615,5733,18.66340941971194,18.66340941971194,18.66340941971194,True
interaction,ineligible_removal,1,160,1683,1615,5733,18.66340941971194,17.850827297542608,19.814863665744653,True
interaction,ineligible_removal,3,160,1683,1615,5733,18.66340941971194,16.163966271874166,22.300249285843734,True
interaction,ineligible_removal,5,160,1683,1615,5733,18.66340941971194,14.392497697695905,24.896377658470914,True
interaction,ineligible_removal,10,160,1683,1615,5733,18.66340941971194,9.63274234400184,31.2984496124031,True
fixed,label_flips,0,1611,1683,5445,5733,-0.7454730143805821,-0.7454730143805821,-0.7454730143805821,True
fixed,label_flips,1,1611,1683,5445,5733,-0.7454730143805821,-2.690400169391771,1.199454140630618,False
fixed,label_flips,3,1611,1683,5445,5733,-0.7454730143805821,-6.699089892367205,5.208143863606052,False
fixed,label_flips,5,1611,1683,5445,5733,-0.7454730143805821,-10.01221001221001,9.234276461167212,False
fixed,label_flips,10,1611,1683,5445,5733,-0.7454730143805821,-15.01831501831502,14.2602495543672,False
fixed,ineligible_removal,0,1611,1683,5445,5733,-0.7454730143805821,-0.7454730143805821,-0.7454730143805821,True
fixed,ineligible_removal,1,1611,1683,5445,5733,-0.7454730143805821,-1.7146676372970626,0.24936873090498635,False
fixed,ineligible_removal,3,1611,1683,5445,5733,-0.7454730143805821,-3.8307798104229795,2.3055032035465883,False
fixed,ineligible_removal,5,1611,1683,5445,5733,-0.7454730143805821,-5.2873141178630405,4.46609679976,False
fixed,ineligible_removal,10,1611,1683,5445,5733,-0.7454730143805821,-5.581395348837215,4.752475247524757,False
generated_material,label_flips,0,833,1683,2942,5734,1.813037948371049,1.813037948371049,1.813037948371049,True
generated_material,label_flips,1,833,1683,2942,5734,1.813037948371049,-0.13171581217704675,3.757791708919145,False
generated_material,label_flips,3,833,1683,2942,5734,1.813037948371049,-4.157498578803898,7.78357447554599,False
generated_material,label_flips,5,833,1683,2942,5734,1.813037948371049,-8.165841512853145,11.791917409595248,False
generated_material,label_flips,10,833,1683,2942,5734,1.813037948371049,-18.16216080665495,21.78823670339705,False
generated_material,ineligible_removal,0,833,1683,2942,5734,1.813037948371049,1.813037948371049,1.813037948371049,True
generated_material,ineligible_removal,1,833,1683,2942,5734,1.813037948371049,0.8490885934139603,2.8129480674236818,True
generated_material,ineligible_removal,3,833,1683,2942,5734,1.813037948371049,-1.208180873933934,4.9460812842283595,False
generated_material,ineligible_removal,5,833,1683,2942,5734,1.813037948371049,-3.343223876156076,7.159692318712413,False
generated_material,ineligible_removal,10,833,1683,2942,5734,1.813037948371049,-9.08154136475457,13.110067061734265,False
llm_judge,label_flips,0,433,1681,2309,5734,14.51009632472906,14.51009632472906,14.51009632472906,True
llm_judge,label_flips,1,433,1681,2309,5734,14.51009632472906,12.564211471612708,16.455981177845416,True
llm_judge,label_flips,3,433,1681,2309,5734,14.51009632472906,8.536025133278297,20.484167516179827,True
llm_judge,label_flips,5,433,1681,2309,5734,14.51009632472906,4.525278627521484,24.49491402193663,True
